BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1446	1446	1446
Contact period end (sample #):	1954	1954	1954
Contact period start time (s):	1.446000	1.446000	1.446000
Contact period end time (s):	1.954000	1.954000	1.954000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:10:53
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.147352	-0.049870	-0.243093
0.001000	0.088787	-0.088358	-0.122278
0.002000	0.069067	0.008188	-0.363959
0.003000	0.069576	-0.165676	-0.362875
0.004000	0.010671	-0.030403	-0.162719
0.005000	0.069321	-0.049733	0.038458
0.006000	0.147097	-0.088358	0.200597
0.007000	0.069237	0.046744	0.079643
0.008000	-0.047979	-0.030471	0.038554
0.009000	0.205832	-0.011142	-0.162793
0.010000	0.069321	-0.049733	0.079164
0.011000	0.147013	-0.011210	0.079304
0.012000	0.166902	-0.127085	-0.162805
0.013000	0.049686	-0.069096	0.200554
0.014000	0.147352	-0.281517	-0.122660
0.015000	0.166902	-0.030403	-0.283755
0.016000	0.030221	-0.107653	-0.121608
0.017000	0.030052	-0.126983	-0.202353
0.018000	0.166732	0.027415	-0.202746
0.019000	0.088447	-0.030437	0.079495
0.020000	0.166817	-0.030437	-0.040798
0.021000	0.108337	0.008188	-0.163313
0.022000	-0.008709	-0.088255	0.039382
0.023000	0.108252	0.008188	-0.041532
0.024000	0.205663	-0.030471	-0.081092
0.025000	0.127463	-0.068994	0.038278
0.026000	0.049771	-0.127051	0.159242
0.027000	-0.047470	-0.030506	-0.082059
0.028000	0.108337	-0.107756	-0.082038
0.029000	0.049686	-0.030437	0.280885
0.030000	0.127802	0.008222	-0.162112
0.031000	0.088787	-0.088323	0.079876
0.032000	0.108167	-0.107687	-0.000527
0.033000	0.030221	-0.011142	-0.242975
0.034000	0.108082	0.027517	0.118821
0.035000	0.147437	0.008154	0.119926
0.036000	-0.028429	-0.011108	0.038288
0.037000	0.029882	-0.049733	0.078676
