BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1531	1531	1531
Contact period end (sample #):	2080	2080	2080
Contact period start time (s):	1.531000	1.531000	1.531000
Contact period end time (s):	2.080000	2.080000	2.080000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:11:14
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	-0.003999	-0.228233	-3.266451
0.001000	0.035186	-0.170347	-3.386944
0.002000	0.015805	-0.208938	-3.547288
0.003000	-0.023634	-0.247597	-3.306009
0.004000	-0.003914	-0.054506	-3.467966
0.005000	-0.062395	-0.209006	-3.547777
0.006000	0.054736	-0.189643	-3.065484
0.007000	0.015721	-0.189677	-3.065805
0.008000	0.015636	-0.054370	-3.507804
0.009000	-0.082199	-0.189608	-3.145061
0.010000	0.074201	-0.015847	-3.145921
0.011000	0.015551	-0.150915	-3.064976
0.012000	0.015551	-0.093029	-3.105385
0.013000	-0.042929	-0.093166	-3.185895
0.014000	-0.043014	-0.035108	-3.064550
0.015000	-0.043014	-0.131722	-3.024119
0.016000	-0.003999	-0.228302	-3.708767
0.017000	0.015636	-0.189677	-3.306859
0.018000	0.035016	-0.209041	-3.548732
0.019000	-0.042845	-0.305517	-3.307358
0.020000	-0.062395	-0.150983	-2.863458
0.021000	0.035101	-0.266961	-2.944310
0.022000	-0.062310	-0.170279	-3.428492
0.023000	0.035016	-0.150983	-3.105131
0.024000	-0.062310	-0.170381	-3.426326
0.025000	-0.023125	-0.073733	-3.428279
0.026000	-0.081860	-0.151018	-3.185439
0.027000	0.034847	-0.112495	-3.307231
0.028000	0.015551	-0.170347	-3.428619
0.029000	0.015466	-0.170381	-2.863862
0.030000	-0.003745	-0.189677	-3.105129
0.031000	-0.081690	-0.151018	-2.943948
0.032000	0.015381	-0.247529	-3.186173
0.033000	-0.023549	-0.247529	-2.944086
0.034000	-0.023549	-0.150881	-3.025554
0.035000	-0.042506	-0.112324	-2.702946
