BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1740	1740	1740
Contact period end (sample #):	2316	2316	2316
Contact period start time (s):	1.740000	1.740000	1.740000
Contact period end time (s):	2.316000	2.316000	2.316000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:19:04
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.050081	-0.072331	-3.229101
0.001000	-0.008315	-0.149547	-3.551283
0.002000	-0.164630	-0.130081	-3.551048
0.003000	-0.047499	-0.149410	-3.268565
0.004000	0.089181	-0.130218	-3.390187
0.005000	-0.047160	-0.245990	-3.591417
0.006000	-0.027695	-0.110854	-3.590120
0.007000	-0.028034	-0.226763	-3.228908
0.008000	-0.047415	-0.168808	-3.349566
0.009000	-0.144910	-0.207399	-3.591204
0.010000	-0.028034	0.004987	-3.550826
0.011000	-0.047499	-0.053002	-3.349213
0.012000	-0.047584	-0.168808	-3.269149
0.013000	-0.027949	-0.188172	-3.188509
0.014000	-0.008230	-0.265319	-3.108115
0.015000	-0.066710	-0.168740	-2.906960
0.016000	-0.066965	-0.168843	-3.228440
0.017000	-0.164460	-0.110717	-3.430616
0.018000	0.011151	-0.188104	-3.310398
0.019000	0.030785	-0.188172	-3.470740
0.020000	0.050420	-0.130115	-3.389942
0.021000	-0.125106	-0.168774	-3.148228
0.022000	0.030785	-0.168808	-3.188394
0.023000	-0.008315	-0.091593	-3.510192
0.024000	0.069716	-0.149410	-3.148132
0.025000	0.050166	-0.168740	-3.429746
0.026000	-0.008569	-0.226763	-3.229356
0.027000	0.030870	-0.130183	-3.389721
0.028000	-0.164630	-0.130286	-3.229356
0.029000	-0.047499	-0.246024	-3.188361
0.030000	-0.027949	-0.130149	-3.470081
0.031000	-0.047584	-0.265354	-3.429278
0.032000	0.069716	-0.130218	-3.107574
0.033000	0.030616	-0.130115	-3.308963
0.034000	-0.028034	-0.188104	-3.429766
0.035000	-0.066710	-0.149513	-3.309781
