BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1357	1357	1357
Contact period end (sample #):	1800	1800	1800
Contact period start time (s):	1.357000	1.357000	1.357000
Contact period end time (s):	1.800000	1.800000	1.800000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:06:50
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.163854	-0.091576	-0.094342
0.001000	0.086078	-0.072281	-0.417608
0.002000	0.007793	0.024196	0.186561
0.003000	-0.031137	0.005072	-0.336693
0.004000	0.066274	-0.014258	0.146746
0.005000	0.046978	-0.033588	0.146788
0.006000	0.125094	-0.207383	-0.055525
0.007000	0.105544	-0.110838	-0.055037
0.008000	0.144474	-0.072213	0.066393
0.009000	0.144389	-0.091542	0.024900
0.010000	0.027513	-0.091474	-0.014776
0.011000	0.085739	-0.052917	-0.255332
0.012000	0.027174	-0.168724	0.106017
0.013000	-0.011587	-0.130099	0.066149
0.014000	0.124839	-0.130167	-0.054686
0.015000	0.124924	0.024367	-0.215986
0.016000	0.046978	-0.130065	0.065405
0.017000	0.007878	-0.110803	0.267358
0.018000	0.066528	-0.091611	0.226832
0.019000	0.085994	-0.072110	0.106380
0.020000	-0.031391	-0.014224	-0.094692
0.021000	0.125009	0.120878	-0.336672
0.022000	0.085654	-0.168655	-0.175267
0.023000	0.027174	-0.130270	-0.095319
0.024000	0.046978	-0.091542	-0.296305
0.025000	0.124670	-0.226747	0.065767
0.026000	-0.011757	-0.014327	-0.216325
0.027000	0.086078	-0.033588	-0.094470
0.028000	-0.031222	-0.052883	-0.497875
0.029000	0.085994	-0.052849	-0.096041
0.030000	-0.011841	-0.072144	-0.014181
0.031000	-0.070152	-0.130167	-0.053847
0.032000	0.085994	0.024401	-0.175375
0.033000	0.027428	-0.033588	-0.135452
0.034000	0.085909	0.043662	-0.255769
0.035000	0.027259	0.005140	-0.054698
0.036000	0.046639	-0.091474	0.187420
