BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1501	1501	1501
Contact period end (sample #):	2141	2141	2141
Contact period start time (s):	1.501000	1.501000	1.501000
Contact period end time (s):	2.141000	2.141000	2.141000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:14:01
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	-0.076598	-0.174189	-1.514732
0.001000	-0.037752	-0.154757	-1.757114
0.002000	0.079548	-0.174121	-1.635825
0.003000	0.059744	-0.019587	-1.313981
0.004000	0.098844	-0.096871	-1.756861
0.005000	-0.018202	-0.077507	-1.997990
0.006000	0.040109	-0.154825	-1.836935
0.007000	-0.017948	-0.135598	-1.837605
0.008000	0.079463	-0.193382	-2.078299
0.009000	0.020813	-0.096905	-1.596380
0.010000	-0.017948	-0.212780	-1.716216
0.011000	-0.018032	-0.232075	-1.998448
0.012000	0.040448	-0.193485	-1.878015
0.013000	0.079718	-0.116235	-2.038962
0.014000	0.021237	-0.135564	-1.797494
0.015000	0.059659	-0.096939	-1.797132
0.016000	0.040194	-0.116132	-1.957709
0.017000	-0.037498	-0.038916	-1.998468
0.018000	-0.057132	-0.174189	-1.676786
0.019000	0.020729	-0.135701	-1.918562
0.020000	-0.037582	-0.058246	-1.796654
0.021000	-0.096148	-0.000428	-1.515105
0.022000	0.020729	-0.135530	-1.837998
0.023000	-0.018032	-0.038950	-2.077853
0.024000	0.098844	-0.174121	-1.998117
0.025000	0.060253	-0.058280	-1.676573
0.026000	0.137944	-0.058280	-1.635548
0.027000	0.001518	-0.193450	-1.715962
0.028000	0.079379	-0.116132	-1.756860
0.029000	-0.037413	-0.096871	-1.636193
0.030000	0.020729	-0.077575	-1.716843
0.031000	0.098844	-0.135530	-1.917935
0.032000	-0.115698	-0.154825	-1.515583
0.033000	0.021068	-0.096939	-1.716460
0.034000	-0.037582	-0.154825	-2.240086
0.035000	-0.096063	-0.077541	-1.595923
