BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1701	1701	1701
Contact period end (sample #):	2151	2151	2151
Contact period start time (s):	1.701000	1.701000	1.701000
Contact period end time (s):	2.151000	2.151000	2.151000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:07:28
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.011298	-0.043526	-2.094613
0.001000	-0.047267	-0.217355	-2.134641
0.002000	0.069694	-0.217390	-2.336786
0.003000	0.011298	-0.159503	-2.054575
0.004000	-0.105832	-0.217424	-1.893139
0.005000	-0.066987	-0.140105	-1.973554
0.006000	0.011213	-0.217424	-2.294982
0.007000	0.069948	-0.159366	-2.256272
0.008000	-0.008676	-0.140037	-1.933624
0.009000	-0.066732	-0.217424	-2.256030
0.010000	0.050144	-0.198060	-1.974755
0.011000	-0.008421	-0.140140	-2.295704
0.012000	0.167529	-0.140140	-2.014527
0.013000	0.147809	-0.159435	-2.335987
0.014000	0.069439	-0.140174	-2.375983
0.015000	-0.008252	-0.120913	-2.134534
0.016000	-0.047352	-0.159332	-2.537196
0.017000	0.030679	-0.140174	-1.652806
0.018000	0.050144	-0.101515	-2.296184
0.019000	0.167190	-0.120844	-1.973215
0.020000	0.108709	-0.120810	-2.175506
0.021000	0.050398	-0.120810	-2.134278
0.022000	0.011129	-0.159435	-2.094252
0.023000	0.089413	-0.178867	-1.812840
0.024000	-0.027632	-0.101480	-2.095081
0.025000	0.011044	-0.236651	-2.134873
0.026000	-0.008252	-0.082322	-1.933996
0.027000	0.089413	-0.159503	-1.892916
0.028000	0.030848	-0.101549	-2.054663
0.029000	0.128174	-0.082185	-2.296173
0.030000	-0.047267	-0.159469	-2.175519
0.031000	0.030679	-0.159606	-2.054544
0.032000	-0.086367	-0.198060	-2.175018
0.033000	0.167105	-0.120810	-2.135225
0.034000	0.050229	-0.217390	-2.055043
0.035000	0.030933	-0.236685	-2.256187
