BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1583	1583	1583
Contact period end (sample #):	2030	2030	2030
Contact period start time (s):	1.583000	1.583000	1.583000
Contact period end time (s):	2.030000	2.030000	2.030000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:07:45
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.126756	-0.082969	-0.103802
0.001000	0.146306	-0.044412	-0.144796
0.002000	0.068191	-0.102230	-0.425953
0.003000	0.126671	-0.198775	0.016408
0.004000	0.048725	-0.082969	-0.184695
0.005000	-0.010009	-0.082866	-0.305765
0.006000	0.107206	-0.044309	-0.264877
0.007000	0.087910	-0.024946	-0.064517
0.008000	0.126756	-0.140786	0.096834
0.009000	0.009625	-0.063639	-0.184675
0.010000	-0.029390	-0.121594	-0.265472
0.011000	0.126756	-0.237400	-0.145263
0.012000	0.068360	-0.102298	0.137222
0.013000	0.088080	-0.063536	0.297575
0.014000	0.126841	-0.140786	0.176675
0.015000	0.146306	-0.024980	-0.103185
0.016000	0.009795	-0.082866	-0.104026
0.017000	0.028921	-0.044378	0.056466
0.018000	0.087910	-0.179582	-0.346269
0.019000	0.009625	-0.044241	-0.144307
0.020000	-0.029305	-0.121559	-0.063881
0.021000	0.204786	-0.082934	0.217265
0.022000	0.009625	-0.063639	0.217628
0.023000	0.009541	-0.140821	-0.063902
0.024000	-0.029220	-0.063571	0.177387
0.025000	0.106951	-0.024946	0.057029
0.026000	0.107206	-0.121594	-0.064242
0.027000	0.146391	-0.121559	-0.265609
0.028000	-0.009755	-0.063707	-0.104663
0.029000	0.087656	-0.102298	-0.104407
0.030000	-0.048855	-0.044446	-0.064285
0.031000	-0.009840	-0.179582	-0.063794
0.032000	-0.010009	-0.063673	-0.023132
0.033000	0.029006	-0.082900	-0.144539
0.034000	0.107036	-0.083037	-0.063999
0.035000	0.009795	-0.005684	-0.105023
0.036000	-0.009755	-0.121594	0.256688
