BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1494	1494	1494
Contact period end (sample #):	1944	1944	1944
Contact period start time (s):	1.494000	1.494000	1.494000
Contact period end time (s):	1.944000	1.944000	1.944000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:08:02
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.130353	0.035237	-0.213228
0.001000	0.032858	-0.041945	-0.011499
0.002000	0.032773	-0.003388	-0.212027
0.003000	0.032773	-0.042047	-0.173394
0.004000	0.013223	0.015941	0.108582
0.005000	0.091253	-0.100002	0.471429
0.006000	0.013562	-0.080604	0.228463
0.007000	0.110634	-0.003388	-0.011489
0.008000	0.052068	-0.099968	0.109200
0.009000	0.071958	-0.003525	-0.091670
0.010000	0.071703	-0.138627	0.270380
0.011000	0.130184	-0.022752	0.390993
0.012000	0.032688	0.035134	0.390599
0.013000	0.052323	-0.080638	-0.293134
0.014000	0.052323	-0.061411	-0.172330
0.015000	-0.006497	-0.099934	-0.132547
0.016000	0.071534	-0.061377	-0.292880
0.017000	-0.045173	-0.157957	-0.414428
0.018000	0.110803	-0.022649	-0.051420
0.019000	0.110719	-0.003422	-0.011489
0.020000	0.149479	-0.042116	-0.172479
0.021000	0.149903	-0.157854	0.028911
0.022000	0.071534	-0.100036	-0.051409
0.023000	0.071703	-0.100002	-0.213802
0.024000	-0.005903	-0.080707	-0.011371
0.025000	-0.103823	-0.099865	-0.333737
0.026000	0.033027	-0.061377	0.309814
0.027000	0.110549	-0.099899	-0.332448
0.028000	0.032518	-0.042082	-0.374527
0.029000	0.149819	-0.119297	-0.092636
0.030000	0.052408	-0.119263	0.149694
0.031000	0.130184	-0.138593	-0.011510
0.032000	-0.025877	-0.022649	-0.051547
0.033000	0.052153	-0.061411	0.068417
0.034000	0.130184	-0.022684	0.027710
0.035000	0.071703	-0.138490	-0.172691
0.036000	0.091253	-0.042082	-0.172798
