BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1496	1496	1496
Contact period end (sample #):	1998	1998	1998
Contact period start time (s):	1.496000	1.496000	1.496000
Contact period end time (s):	1.998000	1.998000	1.998000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:10:05
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.056936	-0.117643	0.325003
0.001000	0.018090	-0.098314	-0.157278
0.002000	0.037640	-0.079121	0.245193
0.003000	0.076486	-0.059723	0.204369
0.004000	0.115586	-0.117575	-0.399151
0.005000	-0.001460	-0.020927	0.043983
0.006000	0.095866	-0.117575	-0.237651
0.007000	0.018090	-0.021098	-0.116773
0.008000	0.018090	-0.001700	-0.078160
0.009000	0.037640	-0.001734	0.486068
0.010000	-0.001460	-0.021029	-0.318003
0.011000	0.057106	-0.001734	0.083990
0.012000	0.037725	-0.001734	0.043380
0.013000	0.037725	-0.117609	-0.077924
0.014000	0.076571	-0.001700	0.164532
0.015000	0.174066	-0.078915	-0.238533
0.016000	0.134882	-0.136870	0.123922
0.017000	0.057021	-0.079052	-0.117220
0.018000	0.017921	-0.021064	0.084255
0.019000	-0.021264	-0.078950	0.083990
0.020000	0.057021	-0.021029	0.043728
0.021000	-0.060195	-0.078984	-0.159307
0.022000	0.134882	-0.098245	0.002949
0.023000	0.095782	-0.001837	0.164289
0.024000	0.096206	-0.021064	-0.479928
0.025000	0.096121	-0.001700	-0.076799
0.026000	0.037556	-0.098245	0.164671
0.027000	-0.001460	-0.117643	-0.238501
0.028000	0.076486	-0.156165	0.244948
0.029000	-0.020925	-0.117712	0.084107
0.030000	0.018006	-0.040359	0.083161
0.031000	-0.060364	-0.020995	-0.278442
0.032000	-0.021010	0.075448	0.042549
0.033000	-0.099379	-0.020995	-0.078053
0.034000	0.057190	-0.001700	-0.399151
0.035000	0.154262	-0.098279	-0.197763
0.036000	0.115840	-0.040291	-0.118304
