BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1825	1825	1825
Contact period end (sample #):	2431	2431	2431
Contact period start time (s):	1.825000	1.825000	1.825000
Contact period end time (s):	2.431000	2.431000	2.431000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:18:46
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.126321	0.049493	-2.009588
0.001000	0.125812	0.030163	-1.688393
0.002000	0.126152	-0.008393	-1.849182
0.003000	0.126152	0.010902	-1.567312
0.004000	0.126067	0.049561	-1.768660
0.005000	0.028486	0.010868	-2.010427
0.006000	0.165252	0.049493	-1.526925
0.007000	0.204267	0.010970	-1.648101
0.008000	0.223732	0.010902	-1.930001
0.009000	0.184717	-0.124371	-2.049838
0.010000	0.145786	-0.027689	-1.929288
0.011000	0.028656	0.011005	-1.326662
0.012000	0.184632	-0.066348	-1.888890
0.013000	0.204013	0.010936	-1.808474
0.014000	0.028656	-0.066280	-1.808826
0.015000	0.165167	0.088118	-1.607331
0.016000	0.087221	0.049356	-1.607223
0.017000	0.223902	0.068857	-1.889836
0.018000	0.028486	-0.008530	-1.728134
0.019000	0.067841	-0.047053	-1.606862
0.020000	0.184802	0.088083	-1.768660
0.021000	0.126236	0.068891	-1.325939
0.022000	0.126321	-0.085746	-1.567546
0.023000	0.165337	-0.008462	-1.729045
0.024000	0.145786	0.049527	-1.607701
0.025000	0.126152	0.030232	-1.326302
0.026000	0.067756	0.010834	-1.688712
0.027000	0.087221	0.049527	-1.447454
0.028000	0.048291	-0.085678	-1.527413
0.029000	0.126321	0.030266	-1.606522
0.030000	0.067586	0.049493	-1.688001
0.031000	0.223732	0.049459	-1.768533
0.032000	0.184802	-0.027894	-1.889602
0.033000	0.165506	0.010834	-1.848705
0.034000	0.145617	0.107413	-1.888954
0.035000	0.145871	-0.047121	-1.930128
0.036000	0.126236	0.049561	-1.688500
0.037000	0.087136	0.010834	-1.647612
