BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1383	1383	1383
Contact period end (sample #):	1977	1977	1977
Contact period start time (s):	1.383000	1.383000	1.383000
Contact period end time (s):	1.977000	1.977000	1.977000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:12:23
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.073410	-0.090191	0.082727
0.001000	0.112595	-0.090088	-0.079666
0.002000	0.112595	-0.167338	-0.080377
0.003000	0.034819	-0.148077	-0.119353
0.004000	0.073665	0.083810	-0.320954
0.005000	0.034480	-0.070793	0.001228
0.006000	-0.082396	-0.051429	-0.683941
0.007000	0.151526	-0.128679	0.282491
0.008000	-0.004196	0.025821	-0.118396
0.009000	-0.043296	-0.070759	-0.361301
0.010000	0.073750	-0.090054	0.242730
0.011000	0.054115	-0.070656	0.243293
0.012000	0.073495	-0.032168	0.001345
0.013000	0.073580	-0.032065	-0.401561
0.014000	0.132145	-0.128679	0.162422
0.015000	0.073665	-0.070896	0.000399
0.016000	0.112595	0.025855	0.040768
0.017000	0.034480	-0.032134	0.042084
0.018000	0.073580	0.045048	-0.079570
0.019000	0.112595	-0.109486	-0.037970
0.020000	0.132061	-0.090088	-0.039406
0.021000	0.151695	-0.051429	-0.039543
0.022000	-0.043635	-0.032099	0.121810
0.023000	-0.023831	-0.032168	-0.239551
0.024000	0.151611	-0.090088	-0.401679
0.025000	0.034565	-0.070759	-0.240190
0.026000	0.151611	-0.109452	-0.119332
0.027000	0.054115	-0.051429	-0.079655
0.028000	-0.023831	0.006525	-0.118992
0.029000	0.073410	-0.032099	-0.118874
0.030000	0.131976	0.025787	-0.118854
0.031000	0.132061	0.006525	0.121894
0.032000	0.132061	-0.032202	0.161942
0.033000	0.112510	-0.051463	-0.522749
0.034000	-0.004281	-0.128679	0.081899
0.035000	0.112510	-0.090191	-0.119108
0.036000	0.151695	-0.012838	-0.119703
0.037000	0.093045	-0.109384	0.283565
