BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1615	1615	1615
Contact period end (sample #):	2268	2268	2268
Contact period start time (s):	1.615000	1.615000	1.615000
Contact period end time (s):	2.268000	2.268000	2.268000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:13:26
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	-0.005716	-0.021291	0.074471
0.001000	0.014088	-0.233609	-0.408213
0.002000	-0.064281	-0.098438	-0.006231
0.003000	0.169810	-0.001790	-0.045853
0.004000	0.111584	-0.040518	-0.126897
0.005000	0.130795	-0.175654	-0.167529
0.006000	0.072399	-0.098404	0.235515
0.007000	0.072314	0.075391	0.155218
0.008000	0.072569	0.036903	0.355883
0.009000	0.052764	-0.021120	0.114967
0.010000	0.013919	-0.079109	0.234922
0.011000	0.091695	-0.098370	-0.126536
0.012000	0.092119	0.036766	-0.046724
0.013000	-0.025351	0.017539	-0.407703
0.014000	0.111245	-0.040381	0.235771
0.015000	0.072569	0.056130	-0.367313
0.016000	0.130795	-0.079143	-0.247479
0.017000	0.091780	-0.098438	-0.004915
0.018000	0.013664	-0.059813	-0.085796
0.019000	-0.025181	-0.021120	-0.046725
0.020000	0.169895	-0.079006	-0.046343
0.021000	-0.044901	0.056096	0.114382
0.022000	-0.025266	-0.079109	-0.045896
0.023000	0.053019	-0.059779	-0.005614
0.024000	0.091780	-0.040586	-0.046704
0.025000	0.053019	-0.040518	-0.448708
0.026000	0.052764	-0.137063	0.114946
0.027000	0.072569	0.056096	-0.247255
0.028000	0.013749	-0.137063	-0.127481
0.029000	-0.025436	-0.021120	0.155609
0.030000	0.033299	0.017334	-0.529814
0.031000	0.053019	0.133380	-0.287750
0.032000	0.072314	-0.156324	-0.005285
0.033000	-0.083492	-0.059813	-0.006453
0.034000	0.013749	-0.059779	0.156066
0.035000	0.072230	-0.272199	-0.085668
0.036000	0.091864	-0.098404	0.195403
