BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1447	1447	1447
Contact period end (sample #):	1999	1999	1999
Contact period start time (s):	1.447000	1.447000	1.447000
Contact period end time (s):	1.999000	1.999000	1.999000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:11:47
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.083888	-0.030277	0.122066
0.001000	0.103268	-0.049538	0.162953
0.002000	0.103098	-0.011016	-0.360672
0.003000	0.025153	-0.010947	0.242509
0.004000	0.064168	-0.010879	-0.078400
0.005000	0.161579	0.047041	0.162964
0.006000	0.122649	-0.107459	-0.079036
0.007000	0.005433	-0.126788	0.284109
0.008000	-0.052962	-0.010913	-0.079270
0.009000	0.161749	-0.049538	0.202981
0.010000	0.122733	-0.010947	0.041991
0.011000	0.103014	-0.068936	-0.159199
0.012000	0.083718	-0.068834	-0.119765
0.013000	0.142114	-0.088232	0.081922
0.014000	0.103183	-0.126857	-0.400179
0.015000	0.181214	0.085598	-0.078908
0.016000	0.044703	-0.049504	0.042257
0.017000	0.122649	-0.049607	-0.239995
0.018000	0.083718	0.008416	0.042383
0.019000	0.103098	-0.107561	-0.198406
0.020000	0.064253	0.008382	0.042001
0.021000	0.044703	0.008348	-0.038532
0.022000	0.103098	-0.030311	0.324156
0.023000	0.122733	0.085632	-0.441395
0.024000	-0.013862	-0.010845	0.082379
0.025000	0.200425	-0.068936	0.162943
0.026000	0.025153	0.027643	-0.239421
0.027000	0.103268	-0.010913	0.082039
0.028000	0.025068	-0.126822	0.122778
0.029000	0.122818	-0.011084	-0.037915
0.030000	0.103183	-0.068868	-0.199480
0.031000	0.200509	-0.088197	-0.078878
0.032000	0.025238	0.008279	0.041896
0.033000	0.064253	-0.088026	0.042099
0.034000	0.083633	0.027677	-0.038287
0.035000	0.005688	-0.049538	0.081933
0.036000	0.025153	0.008451	-0.037914
0.037000	0.103183	0.008382	-0.279747
