BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1829	1829	1829
Contact period end (sample #):	2356	2356	2356
Contact period start time (s):	1.829000	1.829000	1.829000
Contact period end time (s):	2.356000	2.356000	2.356000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:10:22
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.055015	-0.050088	-0.309720
0.001000	0.152934	-0.107906	-0.390984
0.002000	-0.042227	-0.107906	-0.390517
0.003000	0.016423	-0.088645	-0.551836
0.004000	0.113919	-0.107940	-0.632263
0.005000	-0.023186	-0.088439	0.051896
0.006000	0.016084	-0.107940	-0.431872
0.007000	0.036058	-0.165723	-0.391015
0.008000	0.035634	-0.204485	-0.149397
0.009000	0.035719	-0.127270	-0.028455
0.010000	0.094284	-0.243008	-0.471771
0.011000	0.055099	-0.146496	-0.270053
0.012000	0.191780	-0.107974	-0.431691
0.013000	0.113919	-0.011292	-0.190263
0.014000	0.191949	-0.185224	-0.351085
0.015000	-0.022677	-0.069315	-0.189626
0.016000	0.055184	0.008038	-0.390741
0.017000	-0.062031	-0.088576	-0.471058
0.018000	0.152849	-0.011395	-0.350860
0.019000	0.074649	-0.030587	-0.511810
0.020000	0.035634	-0.049951	-0.270531
0.021000	-0.003212	-0.069383	-0.350488
0.022000	0.055523	-0.049985	-0.108967
0.023000	0.016084	-0.146565	-0.350363
0.024000	0.074989	-0.107872	0.012306
0.025000	0.074989	-0.050088	-0.028327
0.026000	0.074480	0.007969	-0.148750
0.027000	0.094623	-0.011360	-0.551847
0.028000	0.016423	-0.049985	-0.188915
0.029000	0.172399	-0.069281	-0.189530
0.030000	0.172399	-0.069349	-0.390505
0.031000	0.172315	-0.088576	-0.471315
0.032000	0.035380	-0.107906	-0.390761
0.033000	0.113749	-0.165860	-0.430916
0.034000	0.172315	-0.049985	-0.189181
0.035000	0.035634	-0.030622	-0.672045
0.036000	0.074819	-0.049917	-0.552102
