BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1533	1533	1533
Contact period end (sample #):	2209	2209	2209
Contact period start time (s):	1.533000	1.533000	1.533000
Contact period end time (s):	2.209000	2.209000	2.209000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:13:08
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.027615	0.083087	0.434543
0.001000	0.007981	-0.013698	-0.007603
0.002000	0.027785	0.044496	0.071983
0.003000	0.124857	0.083087	-0.007935
0.004000	0.027615	-0.110175	0.072217
0.005000	0.086265	-0.071481	0.193254
0.006000	0.085757	-0.245345	0.032689
0.007000	0.066546	-0.129470	-0.450666
0.008000	0.164296	-0.051981	-0.330096
0.009000	0.144322	0.082984	-0.328991
0.010000	0.105731	-0.110243	-0.169997
0.011000	-0.011230	-0.110072	-0.048100
0.012000	0.183592	-0.032891	-0.088126
0.013000	0.105731	-0.129436	-0.128621
0.014000	0.105731	-0.110141	-0.087903
0.015000	0.085926	-0.168061	-0.047972
0.016000	0.066546	-0.090777	-0.290440
0.017000	0.125196	0.063655	0.193052
0.018000	0.125111	-0.052220	0.354382
0.019000	0.008320	0.063723	-0.008347
0.020000	0.027615	-0.052220	0.073066
0.021000	0.086096	-0.090845	0.072481
0.022000	0.105476	0.025030	-0.008337
0.023000	0.085841	-0.052186	0.032158
0.024000	0.105646	-0.032925	0.153151
0.025000	0.047165	-0.032925	0.072258
0.026000	-0.069880	-0.013561	-0.127803
0.027000	0.066376	-0.110175	0.113370
0.028000	0.125281	-0.129436	-0.008572
0.029000	0.066461	0.063723	0.152983
0.030000	0.164126	-0.032925	-0.088106
0.031000	0.047165	0.063689	-0.249265
0.032000	0.027531	0.063757	-0.491469
0.033000	0.008235	-0.032925	-0.128770
0.034000	-0.031035	-0.071584	-0.330468
0.035000	0.086011	0.044462	-0.169392
0.036000	0.105815	-0.013595	-0.048206
0.037000	0.008235	-0.032891	-0.289229
