BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1438	1438	1438
Contact period end (sample #):	1966	1966	1966
Contact period start time (s):	1.438000	1.438000	1.438000
Contact period end time (s):	1.966000	1.966000	1.966000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:10:37
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.038304	-0.009609	-0.098181
0.001000	0.038558	-0.029076	0.022260
0.002000	0.077658	-0.029007	0.023100
0.003000	0.019093	-0.144882	0.023578
0.004000	0.038813	-0.029007	-0.058250
0.005000	-0.000118	-0.048303	0.063382
0.006000	0.057939	-0.183405	0.062894
0.007000	0.097124	-0.106120	-0.017786
0.008000	0.116589	-0.086893	0.103027
0.009000	0.155689	-0.048268	0.022389
0.010000	0.058108	-0.164280	0.102677
0.011000	0.077743	-0.106257	0.102698
0.012000	0.019093	-0.183439	-0.219124
0.013000	0.019347	0.009515	-0.058176
0.014000	-0.019837	-0.183473	-0.258674
0.015000	0.097293	-0.009780	-0.218613
0.016000	0.136393	-0.048405	-0.177992
0.017000	-0.000287	-0.048337	-0.340172
0.018000	0.058024	-0.048337	-0.379879
0.019000	0.272904	0.028947	-0.179321
0.020000	0.038643	-0.086791	0.103770
0.021000	-0.000033	-0.009643	-0.017394
0.022000	0.077404	-0.164109	0.062298
0.023000	0.116504	-0.067598	-0.218772
0.024000	0.038219	-0.106257	-0.138686
0.025000	-0.039218	-0.048268	-0.098330
0.026000	0.097293	-0.164041	0.344188
0.027000	0.097039	-0.125484	-0.218645
0.028000	0.077574	-0.067564	-0.018021
0.029000	0.175154	-0.164212	-0.218031
0.030000	0.097208	-0.009643	-0.057529
0.031000	0.097208	-0.009541	-0.098087
0.032000	0.175408	-0.028939	-0.298956
0.033000	0.097632	-0.048268	0.022602
0.034000	0.058193	-0.106120	-0.017435
0.035000	0.077574	-0.028939	-0.057942
0.036000	0.019347	-0.086962	-0.138922
