BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1976	1976	1976
Contact period end (sample #):	2633	2633	2633
Contact period start time (s):	1.976000	1.976000	1.976000
Contact period end time (s):	2.633000	2.633000	2.633000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:19:21
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	-0.019769	-0.109709	0.127638
0.001000	0.136122	0.025564	-0.113725
0.002000	0.136292	-0.148163	0.046256
0.003000	0.019161	-0.090242	0.047340
0.004000	0.155672	-0.148334	0.046872
0.005000	0.233618	-0.013027	-0.032724
0.006000	0.136207	-0.167595	0.047807
0.007000	0.019161	-0.071152	-0.235592
0.008000	0.058261	-0.090311	0.166614
0.009000	0.097022	0.025632	-0.073210
0.010000	-0.039319	-0.244879	0.007430
0.011000	-0.039150	-0.071016	-0.033066
0.012000	0.077727	0.064052	-0.315073
0.013000	0.097446	-0.013164	0.087027
0.014000	0.136207	0.044757	0.047117
0.015000	0.038627	-0.012993	0.248943
0.016000	0.038711	-0.071016	-0.194385
0.017000	0.136207	-0.070981	-0.073082
0.018000	0.058346	-0.013027	0.047233
0.019000	0.097022	-0.071016	0.208691
0.020000	0.058092	-0.051686	-0.233945
0.021000	-0.117180	-0.090208	0.088440
0.022000	0.077557	-0.109641	0.168176
0.023000	0.058177	0.025530	-0.115180
0.024000	0.116742	-0.051652	-0.193696
0.025000	0.057837	-0.090345	-0.113364
0.026000	0.097107	-0.071016	-0.033054
0.027000	-0.019854	-0.109641	0.127319
0.028000	-0.020108	-0.128902	-0.112886
0.029000	0.058177	-0.090242	0.048222
0.030000	0.097192	-0.109572	-0.314732
0.031000	0.214068	-0.090277	0.208330
0.032000	0.155672	-0.051686	0.208532
0.033000	0.116572	0.083553	-0.113247
0.034000	0.038542	0.006234	-0.193918
0.035000	0.038203	-0.013095	-0.275151
0.036000	-0.019854	-0.032322	0.006877
0.037000	-0.020108	-0.032391	0.248707
