BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1453	1453	1453
Contact period end (sample #):	2088	2088	2088
Contact period start time (s):	1.453000	1.453000	1.453000
Contact period end time (s):	2.088000	2.088000	2.088000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:12:50
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.040752	0.115024	0.141639
0.001000	-0.056489	0.018479	-0.140632
0.002000	0.099148	-0.058771	-0.101213
0.003000	0.001907	-0.097362	0.020251
0.004000	0.177348	-0.039544	0.100051
0.005000	0.118952	-0.039407	0.180678
0.006000	0.196728	-0.058702	0.101005
0.007000	0.079683	-0.058839	0.261869
0.008000	0.118868	0.076399	0.019858
0.009000	0.118868	-0.174577	-0.100107
0.010000	0.079598	-0.078066	0.100666
0.011000	0.040583	-0.097293	0.503340
0.012000	0.079768	-0.155316	0.381961
0.013000	0.099402	-0.020214	0.140897
0.014000	-0.017813	-0.097327	0.020825
0.015000	-0.115393	-0.136021	0.140438
0.016000	0.079683	-0.078101	-0.100478
0.017000	0.001907	-0.000782	-0.100946
0.018000	0.001737	-0.097396	-0.140602
0.019000	0.138418	-0.078135	-0.019660
0.020000	-0.037193	0.018547	0.342157
0.021000	0.060218	-0.116794	0.181337
0.022000	0.099318	-0.039544	0.060013
0.023000	0.079683	-0.097396	0.261807
0.024000	0.079598	-0.078135	0.423285
0.025000	0.079852	0.037809	-0.100914
0.026000	0.138502	-0.039407	0.140918
0.027000	-0.017643	-0.097430	0.060873
0.028000	0.079937	0.076434	-0.140750
0.029000	0.157713	0.018547	0.382429
0.030000	0.196898	-0.116794	0.020144
0.031000	0.118613	-0.097396	-0.100086
0.032000	0.157883	-0.097362	0.020834
0.033000	0.080107	-0.097430	0.020337
0.034000	0.099402	0.076434	-0.060100
0.035000	0.118528	-0.020112	0.100889
0.036000	0.138418	-0.058737	-0.181457
0.037000	0.118952	0.057070	0.261603
