BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1534	1534	1534
Contact period end (sample #):	2159	2159	2159
Contact period start time (s):	1.534000	1.534000	1.534000
Contact period end time (s):	2.159000	2.159000	2.159000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:13:43
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.027190	-0.018840	-0.137942
0.001000	0.164125	-0.134681	0.103366
0.002000	-0.070136	-0.076761	0.265132
0.003000	0.086010	0.019751	0.102855
0.004000	-0.011401	-0.018909	0.022569
0.005000	0.008064	-0.057431	0.143828
0.006000	0.105390	-0.076829	0.103919
0.007000	0.047079	0.000455	0.062436
0.008000	0.125110	-0.076726	-0.178302
0.009000	0.241901	-0.115522	0.063308
0.010000	0.008318	0.039149	-0.098024
0.011000	0.047079	-0.096090	-0.016747
0.012000	0.086010	-0.018806	0.063446
0.013000	0.124940	-0.038101	-0.057008
0.014000	0.144575	-0.095987	0.264070
0.015000	0.144575	-0.038204	0.063329
0.016000	0.086094	-0.076829	-0.057369
0.017000	0.066290	-0.076726	-0.056541
0.018000	0.222351	-0.076829	-0.057593
0.019000	0.125025	0.058376	-0.098023
0.020000	0.085925	0.058376	-0.539894
0.021000	0.027190	-0.115317	-0.258738
0.022000	0.086010	-0.134612	0.143107
0.023000	-0.050501	-0.018874	-0.056307
0.024000	0.027529	-0.076829	0.263806
0.025000	0.007725	0.058512	-0.098384
0.026000	0.027529	-0.038033	-0.218104
0.027000	0.047079	-0.057465	0.022951
0.028000	0.144490	0.039114	0.264070
0.029000	0.105560	-0.115420	-0.339513
0.030000	0.066460	0.000489	-0.137413
0.031000	0.281255	0.039046	-0.177823
0.032000	0.027360	0.058410	0.024226
0.033000	0.047164	0.019785	0.022814
0.034000	-0.050586	-0.153976	-0.097779
0.035000	0.046825	-0.076726	0.143968
0.036000	0.086010	-0.057397	-0.298296
0.037000	0.027699	-0.038067	-0.418633
